epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
44,19724.8,1.11472,0.70173,1.12442,0.71641,0.71483,0.74089,0.47408,1.22049,0.72546,1.20521,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,20766.4,1.11045,0.69823,1.12457,0.72425,0.71008,0.74149,0.47486,1.22,0.72446,1.2047,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,21800.8,1.10959,0.70102,1.13152,0.75631,0.71004,0.74271,0.47573,1.21928,0.72384,1.20485,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,22829.1,1.10871,0.69445,1.12715,0.75892,0.70747,0.74248,0.47606,1.21832,0.7236,1.2045,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,23867.8,1.09659,0.68975,1.1256,0.75691,0.7111,0.74231,0.47596,1.21794,0.72284,1.20508,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,24900.8,1.10072,0.6896,1.11859,0.75583,0.71093,0.74274,0.47679,1.21797,0.72266,1.2053,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,25934.1,1.09622,0.68482,1.12468,0.76141,0.7093,0.74367,0.47739,1.21741,0.72231,1.20522,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,26970.1,1.10397,0.68678,1.12381,0.75998,0.71087,0.7438,0.47799,1.21701,0.72134,1.20553,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,28007.6,1.10376,0.68804,1.12363,0.76407,0.7091,0.74447,0.47831,1.2167,0.72049,1.20539,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,1146.91,1.07989,0.65734,1.11085,0.76322,0.7126,0.74526,0.47843,1.2166,0.71949,1.20536,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,2303.54,1.09107,0.67267,1.11539,0.7622,0.71372,0.7453,0.47877,1.21636,0.71927,1.20514,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,3458.68,1.08919,0.67604,1.11188,0.73057,0.71472,0.74488,0.4788,1.21627,0.71882,1.20497,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,4612.81,1.08867,0.67386,1.11261,0.75938,0.7136,0.74554,0.47881,1.21629,0.71883,1.20502,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,5758.55,1.0876,0.66884,1.10918,0.7616,0.71286,0.74514,0.47847,1.21609,0.71869,1.20465,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,6905.52,1.08569,0.67452,1.11115,0.75958,0.71444,0.74451,0.47891,1.21603,0.71854,1.20442,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,8056.05,1.08147,0.66839,1.1078,0.76048,0.71487,0.74543,0.47877,1.21593,0.71839,1.2048,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,9202.35,1.07792,0.66637,1.11646,0.72936,0.71908,0.74661,0.47868,1.2158,0.71831,1.20495,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,10349.3,1.07797,0.65759,1.10828,0.72688,0.72104,0.74689,0.47876,1.2156,0.71802,1.20528,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,11493.7,1.07636,0.65794,1.10701,0.73109,0.71641,0.74739,0.4791,1.21534,0.71778,1.20516,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,12642.6,1.071,0.65982,1.10257,0.72973,0.71574,0.74633,0.47941,1.21518,0.71763,1.20519,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,13787.7,1.07452,0.66026,1.10804,0.73116,0.71692,0.74639,0.47963,1.21475,0.71743,1.20511,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,14939.5,1.07067,0.65402,1.10521,0.72661,0.72142,0.74674,0.47967,1.21463,0.71713,1.20529,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,16084.9,1.06714,0.65261,1.09853,0.72412,0.7225,0.74661,0.48,1.21448,0.71685,1.2052,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,17229.2,1.06812,0.65436,1.10274,0.72556,0.72124,0.74692,0.48071,1.2143,0.71653,1.20524,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,18374.6,1.06172,0.64853,1.09913,0.72635,0.72046,0.74732,0.48084,1.21411,0.71622,1.20517,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,19515.9,1.06644,0.64879,1.10034,0.73398,0.71547,0.7468,0.48049,1.21403,0.71581,1.20538,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
