epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
85,16679.9,0.95451,0.5568,1.05665,0.76649,0.71347,0.75,0.48252,1.2112,0.70651,1.2384,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,17961.3,0.95348,0.55558,1.05049,0.76664,0.71306,0.74908,0.48213,1.21098,0.70624,1.23854,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,19242.8,0.95915,0.56268,1.05378,0.76996,0.7115,0.74952,0.48264,1.21065,0.70572,1.23862,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,20526.1,0.95282,0.55917,1.05348,0.76426,0.71616,0.75012,0.48302,1.21034,0.70534,1.23871,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,21810.6,0.95751,0.56081,1.05635,0.7651,0.71769,0.7505,0.48284,1.21024,0.70468,1.23907,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,23092.5,0.95933,0.5643,1.05739,0.76604,0.71584,0.75074,0.48302,1.21005,0.70429,1.23924,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,24373.1,0.96231,0.56451,1.05781,0.76592,0.71587,0.75045,0.48318,1.21001,0.70389,1.23966,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,25655.1,0.9584,0.56648,1.05325,0.76771,0.71546,0.75145,0.48352,1.20972,0.70338,1.23967,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,26935.8,0.95894,0.56523,1.05416,0.76334,0.71923,0.75079,0.48345,1.20935,0.7028,1.23946,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,28216.2,0.95554,0.56125,1.05187,0.72502,0.73084,0.75103,0.48365,1.20884,0.70248,1.23941,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,1449.03,0.86408,0.47646,1.01206,0.72715,0.7284,0.74917,0.483,1.20898,0.70252,1.23997,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,2914.74,0.89207,0.49765,1.02268,0.75864,0.72288,0.7498,0.48296,1.20908,0.70247,1.24036,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,4377.68,0.8971,0.50625,1.02245,0.73105,0.72589,0.75048,0.48335,1.20918,0.703,1.24042,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,5845.35,0.90329,0.50856,1.02522,0.73077,0.72723,0.75027,0.48378,1.20919,0.703,1.24072,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,7330.29,0.90683,0.51166,1.03083,0.73053,0.72715,0.75042,0.48344,1.20918,0.70319,1.24106,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,8793.99,0.908,0.51799,1.03215,0.7301,0.72618,0.75096,0.4835,1.20914,0.70303,1.24153,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,10256.2,0.9078,0.51632,1.02584,0.7638,0.71696,0.74972,0.48358,1.20885,0.70316,1.24144,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,11717.8,0.90532,0.5142,1.03259,0.72878,0.72873,0.74992,0.48357,1.20885,0.7031,1.24174,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,13184.1,0.90767,0.51313,1.02563,0.72919,0.72674,0.74999,0.48385,1.20878,0.7032,1.24192,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,14650.5,0.90813,0.51362,1.02958,0.7295,0.72735,0.75156,0.48364,1.20871,0.70275,1.24222,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,16116.6,0.90623,0.51883,1.02679,0.73185,0.7296,0.75183,0.48363,1.20846,0.70281,1.24232,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,17580.9,0.91226,0.52117,1.02946,0.73171,0.72876,0.75126,0.4834,1.20839,0.70264,1.24246,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,19048.3,0.91007,0.51974,1.02519,0.72903,0.73315,0.75185,0.48383,1.20825,0.70225,1.24235,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,20515.5,0.90918,0.52011,1.02139,0.72994,0.73225,0.75103,0.48413,1.2082,0.70235,1.24214,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,21983.7,0.91425,0.52503,1.02821,0.73039,0.7331,0.75058,0.48415,1.20761,0.70171,1.24173,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,23449.6,0.90993,0.52305,1.0312,0.73099,0.73242,0.75076,0.48368,1.20735,0.70091,1.24187,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
111,24916,0.91561,0.52434,1.03151,0.73194,0.73365,0.75084,0.48398,1.20701,0.70045,1.2418,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,26382.1,0.91636,0.52816,1.03016,0.73173,0.73378,0.75058,0.48426,1.20678,0.69989,1.24187,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,27849.1,0.9202,0.53025,1.03221,0.73291,0.73449,0.75028,0.48496,1.20622,0.69968,1.24151,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
114,1415.94,0.80985,0.43967,0.98598,0.73312,0.73416,0.75011,0.48494,1.20655,0.70035,1.24268,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
115,2831.36,0.84016,0.4599,0.99674,0.73414,0.73418,0.75091,0.48471,1.20664,0.7008,1.24331,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
116,4249.57,0.84746,0.46996,0.99408,0.73313,0.73535,0.75036,0.48465,1.20657,0.70177,1.24321,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
117,5665.06,0.85547,0.473,0.99889,0.73201,0.73537,0.7503,0.48479,1.20669,0.70234,1.24327,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
118,7082.9,0.85951,0.47671,1.0056,0.732,0.73231,0.74889,0.48464,1.20674,0.70284,1.24377,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085
119,8501.24,0.86095,0.48106,1.00457,0.73215,0.73105,0.74912,0.4848,1.20685,0.70311,1.24409,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
120,9921.5,0.86388,0.48359,1.00771,0.72969,0.72976,0.74911,0.4848,1.207,0.70303,1.24475,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095
121,11339.9,0.86163,0.48046,1.00857,0.73223,0.72874,0.74936,0.48459,1.20712,0.70306,1.24521,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
122,12762,0.86466,0.47994,0.99907,0.73391,0.72825,0.74933,0.48463,1.20724,0.70286,1.24529,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105
123,14179,0.86621,0.48174,1.00726,0.73816,0.72383,0.74809,0.48421,1.20715,0.70246,1.24536,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
124,15595.8,0.86502,0.48553,1.00326,0.74195,0.72305,0.74909,0.48439,1.20736,0.70215,1.24561,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115
125,17016.8,0.87207,0.49009,1.00898,0.74141,0.72388,0.74883,0.48402,1.20722,0.70163,1.24573,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
126,18436.8,0.87169,0.48953,1.00415,0.74141,0.72455,0.74876,0.48352,1.20743,0.70151,1.24573,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
127,19856,0.87032,0.49013,1.00644,0.7444,0.7213,0.74913,0.4842,1.20741,0.70129,1.24591,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
128,21274.9,0.87631,0.49548,1.01245,0.74649,0.7196,0.74896,0.48433,1.20739,0.70106,1.24626,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135
129,22693.1,0.87199,0.49317,1.01011,0.74749,0.71859,0.74919,0.48439,1.207,0.7006,1.24636,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
130,24112.4,0.87901,0.49813,1.01807,0.73324,0.72992,0.74925,0.48451,1.20631,0.70034,1.24639,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145
131,25529.2,0.87955,0.50028,1.01459,0.73317,0.73052,0.74975,0.48467,1.20618,0.69952,1.24685,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
132,26949.5,0.88278,0.50197,1.01532,0.73153,0.7311,0.75004,0.48514,1.20553,0.699,1.24695,0.0105465,0.0035155,0.0105465,0.0035155,0.0105465,0.0035155,0.0105465,0.0035155
