epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,2032.94,1.32017,0.8013,0.00578,0.7798,0.70301,0.75162,0.48102,1.36454,0.84177,0.00848,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,3011.78,1.31801,0.80826,0.00577,0.78489,0.70346,0.75211,0.48095,1.36422,0.84096,0.00849,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,3981.76,1.31948,0.80297,0.00574,0.77171,0.71032,0.75122,0.48083,1.3643,0.84042,0.0085,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,4951.88,1.31982,0.80024,0.00575,0.77034,0.71351,0.75288,0.4819,1.36392,0.84012,0.0085,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,5933.01,1.31422,0.80606,0.00573,0.77479,0.71323,0.75308,0.48181,1.36382,0.83942,0.0085,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,6913.53,1.31395,0.80431,0.00566,0.77044,0.71064,0.75311,0.48186,1.36312,0.83896,0.0085,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,7903.07,1.30024,0.78884,0.00575,0.77241,0.7105,0.75248,0.48219,1.36283,0.83783,0.0085,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,8890,1.30785,0.78392,0.00561,0.77263,0.70978,0.75327,0.48298,1.36224,0.83647,0.00849,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,9877.22,1.29801,0.78226,0.00566,0.76936,0.70999,0.75329,0.48347,1.36175,0.83718,0.00848,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,10870.2,1.30008,0.78076,0.00567,0.77092,0.71089,0.75434,0.48342,1.36152,0.83629,0.0085,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,11863.2,1.29238,0.77639,0.00566,0.77038,0.70995,0.75379,0.48286,1.36087,0.83626,0.00849,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,12857,1.29589,0.77465,0.00564,0.78043,0.70425,0.75532,0.48385,1.36044,0.83647,0.00848,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,13851.3,1.2934,0.77406,0.00555,0.76538,0.71396,0.7553,0.48391,1.35968,0.83736,0.00847,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,14841.3,1.29559,0.77833,0.00555,0.77862,0.70438,0.75464,0.48371,1.3591,0.83648,0.00846,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,15831.8,1.29054,0.76973,0.00557,0.7784,0.70514,0.75398,0.48325,1.3592,0.83614,0.00846,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,16824.9,1.29151,0.76704,0.00553,0.7772,0.70461,0.75424,0.48334,1.35891,0.83554,0.00846,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,17815.8,1.28468,0.76796,0.00552,0.78317,0.70293,0.75457,0.48437,1.35866,0.83543,0.00846,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,18802.3,1.29133,0.76396,0.00548,0.77331,0.7117,0.75481,0.48457,1.35778,0.83504,0.00844,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,19790.4,1.28362,0.76226,0.00551,0.78106,0.70954,0.75604,0.48453,1.35735,0.83458,0.00844,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,20773.6,1.27946,0.76,0.00564,0.7813,0.70513,0.75325,0.48386,1.35678,0.83487,0.00844,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,21761.4,1.28168,0.76147,0.00547,0.78127,0.70483,0.75398,0.4847,1.35623,0.835,0.00843,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,22748.3,1.26379,0.75544,0.00555,0.77648,0.70792,0.75351,0.48421,1.35594,0.83472,0.00843,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,23742.5,1.27897,0.7631,0.0055,0.78038,0.70218,0.75352,0.48447,1.35566,0.83427,0.00843,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,24737,1.27184,0.75628,0.00554,0.77504,0.70681,0.75338,0.48427,1.35537,0.83339,0.00844,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,25723.2,1.28033,0.75699,0.00547,0.77352,0.70738,0.75419,0.48467,1.35495,0.83219,0.00844,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,26714.4,1.27787,0.75573,0.00551,0.776,0.70828,0.75483,0.48448,1.35444,0.83181,0.00844,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,27701,1.27143,0.74977,0.00546,0.7773,0.70713,0.75462,0.48456,1.35387,0.83163,0.00844,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,1060.16,1.23081,0.69254,0.00521,0.76988,0.71209,0.75495,0.48494,1.35346,0.8321,0.00843,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,2074.55,1.25181,0.71784,0.00536,0.76824,0.71259,0.75604,0.48508,1.35328,0.83154,0.00843,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,3086.97,1.25281,0.72699,0.00535,0.7744,0.70765,0.75581,0.48491,1.35271,0.83252,0.00843,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,4092.81,1.25691,0.72296,0.00536,0.76908,0.71211,0.75575,0.48475,1.35298,0.83206,0.00843,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,1024.07,1.21742,0.67418,0.00513,0.7291,0.74469,0.7554,0.48522,1.35303,0.83221,0.00843,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,2009.41,1.2423,0.7024,0.0053,0.74889,0.72974,0.75571,0.48549,1.353,0.83221,0.00843,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,2992.82,1.24668,0.71593,0.00532,0.77186,0.70942,0.75557,0.48539,1.35257,0.83274,0.00843,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,3972.65,1.24763,0.71245,0.0053,0.74291,0.72989,0.75562,0.4851,1.3528,0.83236,0.00843,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,4954.88,1.25287,0.71432,0.00534,0.72885,0.74317,0.75432,0.48476,1.35261,0.83172,0.00843,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,5941.4,1.24725,0.72215,0.00532,0.77352,0.71156,0.75476,0.48485,1.35254,0.83079,0.00843,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,6928.08,1.2486,0.72066,0.00526,0.77005,0.71344,0.7547,0.48467,1.35247,0.8311,0.00843,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,7919.06,1.23762,0.71041,0.00536,0.77333,0.7124,0.75426,0.48504,1.3522,0.83074,0.00843,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,8896.91,1.24425,0.70515,0.00523,0.76942,0.71477,0.75413,0.48551,1.35143,0.83149,0.00842,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,9879.76,1.23696,0.70716,0.00529,0.77694,0.71233,0.75361,0.48521,1.35136,0.8305,0.00842,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,10860.4,1.23803,0.70765,0.00527,0.78065,0.71119,0.75435,0.48599,1.35129,0.82982,0.00842,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,11839.6,1.23321,0.70738,0.00531,0.77601,0.7129,0.75368,0.48543,1.35078,0.83095,0.00842,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,12815.8,1.23542,0.70651,0.00528,0.77638,0.7141,0.7548,0.48561,1.35079,0.83016,0.00842,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,13791.6,1.23546,0.70341,0.00522,0.78382,0.70928,0.75408,0.48543,1.35065,0.82998,0.00842,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,14776.2,1.23577,0.70995,0.0052,0.78111,0.71136,0.75387,0.48543,1.35049,0.82952,0.00842,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,15756.3,1.23084,0.70125,0.00522,0.77903,0.71083,0.75427,0.48578,1.35026,0.82947,0.00842,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,16735.7,1.23301,0.69597,0.00519,0.7696,0.71469,0.75327,0.48605,1.35018,0.82901,0.00842,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,17724.3,1.22356,0.6975,0.00517,0.78306,0.70871,0.75243,0.48606,1.34911,0.82956,0.00842,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,18710.2,1.23067,0.69605,0.00513,0.7379,0.73746,0.75301,0.48592,1.3492,0.82923,0.00842,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,19695.6,1.22076,0.69463,0.00514,0.78406,0.70662,0.75322,0.48656,1.34826,0.82911,0.00841,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
